Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
1,6.0,0.12606145809798916,H27-36,1105,joint,R,F,2
-1,8.5,0.5349537436138857,H27-36,1105,joint,R,F,2
0,8.5,0.46923081807358824,H27-36,1105,joint,R,F,2
1,8.5,0.011443841211186898,H27-36,1105,joint,R,F,2
-1,11.0,0.48567756082942104,H27-36,1105,joint,R,F,2
0,11.0,0.5362543465115571,H27-36,1105,joint,R,F,2
1,11.0,-0.3459720923447612,H27-36,1105,joint,R,F,2
-1,13.5,0.3359534836507394,H27-36,1105,joint,R,F,2
0,13.5,0.39689957621780136,H27-36,1105,joint,R,F,2
1,13.5,-0.5760027643692938,H27-36,1105,joint,R,F,2
-1,16.0,0.2688006582556299,H27-36,1105,joint,R,F,2
0,16.0,0.2902198582901753,H27-36,1105,joint,R,F,2
1,16.0,-0.7812272095442854,H27-36,1105,joint,R,F,2
-1,18.5,0.21449369316563882,H27-36,1105,joint,R,F,2
0,18.5,0.2065873171652609,H27-36,1105,joint,R,F,2
1,18.5,-0.5451602339867673,H27-36,1105,joint,R,F,2
-1,1.0,-0.5163387796717963,H27-36,1105,joint,R,F,3
0,1.0,0.11063676957715646,H27-36,1105,joint,R,F,3
1,1.0,-0.14805295706673555,H27-36,1105,joint,R,F,3
-1,3.5,-0.2474948536504239,H27-36,1105,joint,R,F,3
0,3.5,-0.25397840866455973,H27-36,1105,joint,R,F,3
1,3.5,-0.14863428356586983,H27-36,1105,joint,R,F,3
-1,6.0,-0.24090650204556108,H27-36,1105,joint,R,F,3
0,6.0,-0.2549859607416392,H27-36,1105,joint,R,F,3
1,6.0,0.03720920889273109,H27-36,1105,joint,R,F,3
-1,8.5,-0.24555625175490547,H27-36,1105,joint,R,F,3
0,8.5,-0.2538431537809604,H27-36,1105,joint,R,F,3
1,8.5,0.037619977528704225,H27-36,1105,joint,R,F,3
-1,11.0,-0.26268708938954893,H27-36,1105,joint,R,F,3
0,11.0,-0.25312062860804263,H27-36,1105,joint,R,F,3
1,11.0,0.05006238673342353,H27-36,1105,joint,R,F,3
-1,13.5,-0.2746963487246413,H27-36,1105,joint,R,F,3
0,13.5,-0.2857082527681121,H27-36,1105,joint,R,F,3
1,13.5,0.022203609888899675,H27-36,1105,joint,R,F,3
-1,16.0,-0.309892749012218,H27-36,1105,joint,R,F,3
0,16.0,-0.29587152995485455,H27-36,1105,joint,R,F,3
1,16.0,0.15030279255500212,H27-36,1105,joint,R,F,3
-1,18.5,-0.22353961886291085,H27-36,1105,joint,R,F,3
0,18.5,-0.3748511727690036,H27-36,1105,joint,R,F,3
1,18.5,0.15038264014283098,H27-36,1105,joint,R,F,3
-1,1.0,-0.2922399029620652,H27-36,1105,joint,L,F,4
0,1.0,-0.7284800363177313,H27-36,1105,joint,L,F,4
1,1.0,-0.5073257552604133,H27-36,1105,joint,L,F,4
-1,3.5,-0.3433041499277306,H27-36,1105,joint,L,F,4
0,3.5,-0.807625724359907,H27-36,1105,joint,L,F,4
1,3.5,-0.6330711308853845,H27-36,1105,joint,L,F,4
-1,6.0,-0.4389808493522681,H27-36,1105,joint,L,F,4
0,6.0,-0.46842290377487816,H27-36,1105,joint,L,F,4
1,6.0,-0.10794713856643337,H27-36,1105,joint,L,F,4
-1,8.5,-0.06903034320278466,H27-36,1105,joint,L,F,4
0,8.5,-0.4102245147557575,H27-36,1105,joint,L,F,4
1,8.5,-0.0529573401008818,H27-36,1105,joint,L,F,4
-1,11.0,0.02968409391791695,H27-36,1105,joint,L,F,4
0,11.0,-0.35492588860074514,H27-36,1105,joint,L,F,4
1,11.0,0.058284489188429406,H27-36,1105,joint,L,F,4
-1,13.5,0.033264749188810304,H27-36,1105,joint,L,F,4
0,13.5,-0.40762378926789183,H27-36,1105,joint,L,F,4
1,13.5,0.09642763643009916,H27-36,1105,joint,L,F,4
-1,16.0,0.2477123014260364,H27-36,1105,joint,L,F,4
0,16.0,-0.3840760790912865,H27-36,1105,joint,L,F,4
1,16.0,0.12309690187475704,H27-36,1105,joint,L,F,4
-1,18.5,0.20860659903351514,H27-36,1105,joint,L,F,4
0,18.5,-0.45268126518376256,H27-36,1105,joint,L,F,4
1,18.5,0.28791451902319914,H27-36,1105,joint,L,F,4
-1,1.0,0.10152872675795002,H27-36,1105,prac,L,F,1
0,1.0,-0.42030457521209946,H27-36,1105,prac,L,F,1
1,1.0,-0.23319954077924276,H27-36,1105,prac,L,F,1
-1,3.5,0.06170928749163673,H27-36,1105,prac,L,F,1
0,3.5,-0.4560780057994402,H27-36,1105,prac,L,F,1
1,3.5,-0.27179430090574525,H27-36,1105,prac,L,F,1
-1,6.0,0.059738112309041816,H27-36,1105,prac,L,F,1
0,6.0,-0.534000130791014,H27-36,1105,prac,L,F,1
1,6.0,-0.30650691491272053,H27-36,1105,prac,L,F,1
-1,8.5,0.1557438645755842,H27-36,1105,prac,L,F,1
0,8.5,-0.02171134764214777,H27-36,1105,prac,L,F,1
1,8.5,-0.26405444047627763,H27-36,1105,prac,L,F,1
-1,11.0,0.243143904836797,H27-36,1105,prac,L,F,1
0,11.0,0.13244939829434418,H27-36,1105,prac,L,F,1
1,11.0,-0.07618067858939914,H27-36,1105,prac,L,F,1
-1,13.5,0.38788633561319125,H27-36,1105,prac,L,F,1
0,13.5,0.33921797000777065,H27-36,1105,prac,L,F,1
1,13.5,0.07844649006545727,H27-36,1105,prac,L,F,1
-1,16.0,0.5327900532079705,H27-36,1105,prac,L,F,1
0,16.0,0.3460024589620937,H27-36,1105,prac,L,F,1
1,16.0,0.18123039514234285,H27-36,1105,prac,L,F,1
-1,18.5,0.5727892239074566,H27-36,1105,prac,L,F,1
0,18.5,0.5743995217901495,H27-36,1105,prac,L,F,1
1,18.5,0.15981982076157597,H27-36,1105,prac,L,F,1
-1,1.0,0.1740288668850159,H27-24,1080,indivi,R,F,1
0,1.0,0.2599179472289744,H27-24,1080,indivi,R,F,1
1,1.0,0.3166694879352515,H27-24,1080,indivi,R,F,1
-1,3.33,0.22256822790241435,H27-24,1080,indivi,R,F,1
0,3.33,0.31974774603937206,H27-24,1080,indivi,R,F,1
1,3.33,-0.1819792660962346,H27-24,1080,indivi,R,F,1
-1,5.66,-0.07310044056439195,H27-24,1080,indivi,R,F,1
0,5.66,0.30412910566361984,H27-24,1080,indivi,R,F,1
1,5.66,-0.2212975872498707,H27-24,1080,indivi,R,F,1
-1,7.99,-0.06927512888530961,H27-24,1080,indivi,R,F,1
0,7.99,0.3013944374599728,H27-24,1080,indivi,R,F,1
1,7.99,-0.44216293229693315,H27-24,1080,indivi,R,F,1
-1,10.32,-0.053187253669406936,H27-24,1080,indivi,R,F,1
0,10.32,0.06004996647922474,H27-24,1080,indivi,R,F,1
1,10.32,-0.2711346971334694,H27-24,1080,indivi,R,F,1
-1,12.65,0.10458295487289869,H27-24,1080,indivi,R,F,1
0,12.65,0.17499705569930663,H27-24,1080,indivi,R,F,1
1,12.65,-0.4341679211322822,H27-24,1080,indivi,R,F,1
-1,14.98,0.09774546606386625,H27-24,1080,indivi,R,F,1
0,14.98,-0.216084500669506,H27-24,1080,indivi,R,F,1
1,14.98,-0.42979113222524296,H27-24,1080,indivi,R,F,1
-1,17.31,0.27704411897764647,H27-24,1080,indivi,R,F,1
0,17.31,-0.36262288367650014,H27-24,1080,indivi,R,F,1
1,17.31,-0.39222475173172466,H27-24,1080,indivi,R,F,1
-1,19.64,0.4211835104802349,H27-24,1080,indivi,R,F,1
0,19.64,-0.49600824599314475,H27-24,1080,indivi,R,F,1
1,19.64,-0.2532576466872049,H27-24,1080,indivi,R,F,1
-1,1.0,-0.01731521115726022,H27-24,1080,indivi,L,F,2
0,1.0,-0.6320044397174072,H27-24,1080,indivi,L,F,2
1,1.0,0.050759996316604154,H27-24,1080,indivi,L,F,2
-1,3.33,0.19454835281380112,H27-24,1080,indivi,L,F,2
0,3.33,-0.5622323648885074,H27-24,1080,indivi,L,F,2
1,3.33,0.22150193550525474,H27-24,1080,indivi,L,F,2
-1,5.66,0.22816985342480176,H27-24,1080,indivi,L,F,2
0,5.66,-0.5915482171059464,H27-24,1080,indivi,L,F,2
1,5.66,0.5772700395389769,H27-24,1080,indivi,L,F,2
-1,7.99,0.23892355914145913,H27-24,1080,indivi,L,F,2
0,7.99,-0.5531696139780943,H27-24,1080,indivi,L,F,2
1,7.99,0.7080781614544653,H27-24,1080,indivi,L,F,2
-1,10.32,0.3835467073312345,H27-24,1080,indivi,L,F,2
0,10.32,-0.23529143735280603,H27-24,1080,indivi,L,F,2
1,10.32,0.7812562649040995,H27-24,1080,indivi,L,F,2
-1,12.65,0.4872059930551654,H27-24,1080,indivi,L,F,2
0,12.65,-0.07493385975165108,H27-24,1080,indivi,L,F,2
1,12.65,0.8193574260944456,H27-24,1080,indivi,L,F,2
-1,14.98,0.5736023008217969,H27-24,1080,indivi,L,F,2
0,14.98,0.27150629095839146,H27-24,1080,indivi,L,F,2
1,14.98,0.8277578740858861,H27-24,1080,indivi,L,F,2
-1,17.31,0.6365269797300592,H27-24,1080,indivi,L,F,2
0,17.31,0.27767146341357013,H27-24,1080,indivi,L,F,2
1,17.31,0.935837681360569,H27-24,1080,indivi,L,F,2
-1,19.64,0.6620181938518146,H27-24,1080,indivi,L,F,2
0,19.64,0.6349705753088349,H27-24,1080,indivi,L,F,2
1,19.64,0.9192647558673239,H27-24,1080,indivi,L,F,2
-1,1.0,0.7413777558247948,H27-24,1080,indivi,R,F,3
0,1.0,0.3961596052399625,H27-24,1080,indivi,R,F,3
1,1.0,0.6388757109371491,H27-24,1080,indivi,R,F,3
-1,3.33,0.688354167525015,H27-24,1080,indivi,R,F,3
0,3.33,0.6883541675250148,H27-24,1080,indivi,R,F,3
1,3.33,0.6707702406903909,H27-24,1080,indivi,R,F,3
-1,5.66,0.852953851491784,H27-24,1080,indivi,R,F,3
0,5.66,0.5573873266988844,H27-24,1080,indivi,R,F,3
1,5.66,0.4695376341122513,H27-24,1080,indivi,R,F,3
-1,7.99,0.775862799967095,H27-24,1080,indivi,R,F,3
0,7.99,0.17782102423025245,H27-24,1080,indivi,R,F,3
1,7.99,0.24034716870448505,H27-24,1080,indivi,R,F,3
-1,10.32,-0.018290982847556547,H27-24,1080,indivi,R,F,3
0,10.32,-0.2406554755559448,H27-24,1080,indivi,R,F,3
1,10.32,0.20770327809771608,H27-24,1080,indivi,R,F,3
-1,12.65,-0.09824718648648245,H27-24,1080,indivi,R,F,3
0,12.65,-0.2800715888825029,H27-24,1080,indivi,R,F,3
1,12.65,0.0298274993135947,H27-24,1080,indivi,R,F,3
-1,14.98,-0.4216172866154275,H27-24,1080,indivi,R,F,3
0,14.98,-0.3732481431212249,H27-24,1080,indivi,R,F,3
1,14.98,0.0359752575313018,H27-24,1080,indivi,R,F,3
-1,17.31,-0.3466525381269263,H27-24,1080,indivi,R,F,3
0,17.31,-0.35030151221247297,H27-24,1080,indivi,R,F,3
1,17.31,0.34286748030903225,H27-24,1080,indivi,R,F,3
-1,19.64,-0.3696313975483449,H27-24,1080,indivi,R,F,3
0,19.64,-0.29330748733663053,H27-24,1080,indivi,R,F,3
1,19.64,0.42114719364860315,H27-24,1080,indivi,R,F,3
-1,1.0,0.20104000892056162,H27-24,1080,indivi,L,F,4
0,1.0,-0.02703143109929045,H27-24,1080,indivi,L,F,4
1,1.0,0.5159254231157852,H27-24,1080,indivi,L,F,4
-1,3.33,0.07253346852325493,H27-24,1080,indivi,L,F,4
0,3.33,-0.1078994069319918,H27-24,1080,indivi,L,F,4
1,3.33,0.3183249908498229,H27-24,1080,indivi,L,F,4
-1,5.66,0.00675814842731396,H27-24,1080,indivi,L,F,4
0,5.66,0.03744383295441096,H27-24,1080,indivi,L,F,4
1,5.66,0.4401340931167017,H27-24,1080,indivi,L,F,4
-1,7.99,-0.1361394101467272,H27-24,1080,indivi,L,F,4
0,7.99,-0.11868829859589139,H27-24,1080,indivi,L,F,4
1,7.99,0.5856758888837813,H27-24,1080,indivi,L,F,4
-1,10.32,-0.12827054761393364,H27-24,1080,indivi,L,F,4
0,10.32,-0.11328915806492089,H27-24,1080,indivi,L,F,4
1,10.32,0.46510514126906416,H27-24,1080,indivi,L,F,4
-1,12.65,-0.13345933457499584,H27-24,1080,indivi,L,F,4
0,12.65,-0.11328915806492089,H27-24,1080,indivi,L,F,4
1,12.65,0.478369352897277,H27-24,1080,indivi,L,F,4
-1,14.98,-0.29342971175841653,H27-24,1080,indivi,L,F,4
0,14.98,0.032562699853620286,H27-24,1080,indivi,L,F,4
1,14.98,0.4782870855919358,H27-24,1080,indivi,L,F,4
-1,17.31,-0.4262669453509009,H27-24,1080,indivi,L,F,4
0,17.31,0.18471560124071676,H27-24,1080,indivi,L,F,4
1,17.31,0.3402583271632873,H27-24,1080,indivi,L,F,4
-1,19.64,-0.2692865675115401,H27-24,1080,indivi,L,F,4
0,19.64,0.20598271780313643,H27-24,1080,indivi,L,F,4
1,19.64,0.38469704588893194,H27-24,1080,indivi,L,F,4
-1,1.0,-0.06535020234912854,H27-24,1080,joint,L,F,1
0,1.0,-0.4103452220205708,H27-24,1080,joint,L,F,1
1,1.0,-0.22363171541297705,H27-24,1080,joint,L,F,1
-1,3.33,-0.11053703497414849,H27-24,1080,joint,L,F,1
0,3.33,-0.20997898614222682,H27-24,1080,joint,L,F,1
1,3.33,-0.32193566912742066,H27-24,1080,joint,L,F,1
-1,5.66,-0.14698529029955873,H27-24,1080,joint,L,F,1
0,5.66,-0.20895013740651758,H27-24,1080,joint,L,F,1
1,5.66,-0.36857434073674233,H27-24,1080,joint,L,F,1
-1,7.99,-0.2559607682402267,H27-24,1080,joint,L,F,1
0,7.99,-0.41465884906554323,H27-24,1080,joint,L,F,1
1,7.99,-0.36857434073674233,H27-24,1080,joint,L,F,1
-1,10.32,0.4587260894270359,H27-24,1080,joint,L,F,1
0,10.32,-0.1093465725438291,H27-24,1080,joint,L,F,1
1,10.32,-0.3519662279383997,H27-24,1080,joint,L,F,1
-1,12.65,0.38046392441925636,H27-24,1080,joint,L,F,1
0,12.65,-0.044466503481017744,H27-24,1080,joint,L,F,1
1,12.65,-0.14315260086569426,H27-24,1080,joint,L,F,1
-1,14.98,0.366938721169277,H27-24,1080,joint,L,F,1
0,14.98,-0.4029249342622574,H27-24,1080,joint,L,F,1
1,14.98,-0.25340800515834433,H27-24,1080,joint,L,F,1
-1,17.31,0.4634860752910688,H27-24,1080,joint,L,F,1
0,17.31,-0.5834474970247195,H27-24,1080,joint,L,F,1
1,17.31,0.025980357582779723,H27-24,1080,joint,L,F,1
-1,19.64,-0.21087978098958146,H27-24,1080,joint,L,F,1
0,19.64,-0.14202107699298333,H27-24,1080,joint,L,F,1
1,19.64,0.10846575440218585,H27-24,1080,joint,L,F,1
-1,1.0,-0.10925248672829513,H27-24,1080,joint,R,F,2
0,1.0,-0.13199297138722457,H27-24,1080,joint,R,F,2
1,1.0,0.1725284121571504,H27-24,1080,joint,R,F,2
-1,3.33,-0.20275532247267797,H27-24,1080,joint,R,F,2
0,3.33,-0.23839673827637087,H27-24,1080,joint,R,F,2
1,3.33,0.27247569331692045,H27-24,1080,joint,R,F,2
-1,5.66,-0.21284925382121644,H27-24,1080,joint,R,F,2
0,5.66,-0.259236279241382,H27-24,1080,joint,R,F,2
1,5.66,0.16078282222198137,H27-24,1080,joint,R,F,2
-1,7.99,-0.2914240252757674,H27-24,1080,joint,R,F,2
0,7.99,-0.25631687685219723,H27-24,1080,joint,R,F,2
1,7.99,0.26249783176925984,H27-24,1080,joint,R,F,2
-1,10.32,-0.3246874145669106,H27-24,1080,joint,R,F,2
0,10.32,-0.38403833715974,H27-24,1080,joint,R,F,2
1,10.32,0.16014061540388755,H27-24,1080,joint,R,F,2
-1,12.65,-0.49763579636519356,H27-24,1080,joint,R,F,2
0,12.65,-0.558874071458037,H27-24,1080,joint,R,F,2
1,12.65,0.06726512776269107,H27-24,1080,joint,R,F,2
-1,14.98,-0.4612053045499047,H27-24,1080,joint,R,F,2
0,14.98,-0.5434739987492154,H27-24,1080,joint,R,F,2
1,14.98,0.1750608077958159,H27-24,1080,joint,R,F,2
-1,17.31,-0.49713265708955057,H27-24,1080,joint,R,F,2
0,17.31,-0.5405043412858282,H27-24,1080,joint,R,F,2
1,17.31,-0.02610737950361741,H27-24,1080,joint,R,F,2
-1,19.64,-0.49899578786179904,H27-24,1080,joint,R,F,2
0,19.64,-0.5268082230199472,H27-24,1080,joint,R,F,2
1,19.64,-0.00761465235522176,H27-24,1080,joint,R,F,2
-1,1.0,0.06979214179103368,H27-24,1080,joint,R,F,3
0,1.0,0.5219869467133796,H27-24,1080,joint,R,F,3
1,1.0,-0.1398087492573142,H27-24,1080,joint,R,F,3
-1,3.33,0.06073104122678439,H27-24,1080,joint,R,F,3
0,3.33,0.37446372141831485,H27-24,1080,joint,R,F,3
1,3.33,-0.08439841276105227,H27-24,1080,joint,R,F,3
-1,5.66,-0.050818516857565214,H27-24,1080,joint,R,F,3
0,5.66,0.9557332233721791,H27-24,1080,joint,R,F,3
1,5.66,0.6474430146705753,H27-24,1080,joint,R,F,3
-1,7.99,-0.15160845034659773,H27-24,1080,joint,R,F,3
0,7.99,0.9260324714462439,H27-24,1080,joint,R,F,3
1,7.99,0.29910841641925895,H27-24,1080,joint,R,F,3
-1,10.32,-0.1879583427756475,H27-24,1080,joint,R,F,3
0,10.32,0.9253473851603673,H27-24,1080,joint,R,F,3
1,10.32,0.29594520776891897,H27-24,1080,joint,R,F,3
-1,12.65,-0.17624392825956844,H27-24,1080,joint,R,F,3
0,12.65,0.9345715834909534,H27-24,1080,joint,R,F,3
1,12.65,0.2966699185152164,H27-24,1080,joint,R,F,3
-1,14.98,-0.17446190064555453,H27-24,1080,joint,R,F,3
0,14.98,0.9309526186245907,H27-24,1080,joint,R,F,3
1,14.98,0.3238133150130364,H27-24,1080,joint,R,F,3
-1,17.31,-0.18699323005199323,H27-24,1080,joint,R,F,3
0,17.31,0.9292362427969989,H27-24,1080,joint,R,F,3
1,17.31,0.3127320748271585,H27-24,1080,joint,R,F,3
-1,19.64,-0.21124152204047242,H27-24,1080,joint,R,F,3
0,19.64,0.9125980324746457,H27-24,1080,joint,R,F,3
1,19.64,0.2837016667667418,H27-24,1080,joint,R,F,3
-1,1.0,-0.4043461879176322,H27-24,1080,joint,L,F,4
0,1.0,0.0837833619600603,H27-24,1080,joint,L,F,4
1,1.0,-0.18221834225689487,H27-24,1080,joint,L,F,4
-1,3.33,-0.4299233293825439,H27-24,1080,joint,L,F,4
0,3.33,0.04748265510440039,H27-24,1080,joint,L,F,4
1,3.33,-0.22053119271302446,H27-24,1080,joint,L,F,4
-1,5.66,-0.47909178662830015,H27-24,1080,joint,L,F,4
0,5.66,0.018792065532356735,H27-24,1080,joint,L,F,4
1,5.66,-0.21570037204151196,H27-24,1080,joint,L,F,4
-1,7.99,-0.47055057455296323,H27-24,1080,joint,L,F,4
0,7.99,0.008924280641947505,H27-24,1080,joint,L,F,4
1,7.99,-0.18968700536048255,H27-24,1080,joint,L,F,4
-1,10.32,-0.4782798956453393,H27-24,1080,joint,L,F,4
0,10.32,0.43737166896650703,H27-24,1080,joint,L,F,4
1,10.32,0.17583328271656584,H27-24,1080,joint,L,F,4
